"","spp","CommonName","Source","PrimerNote","Country","Site","lat","lon","stockid","CollectionYear","NumMarkers","MarkerName","CrossSpp","n","Repeat","He","Hese","file","maxlength","fecundity","fecundity_mean","reproductionmode","fertilization","class","order","family","genus","species","maturityage","adultlifespan","generationtime"
"1","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819"," -80.10331",NA,""," 1","Absa1","0.00"," 12.0"," 4.000000","0.81300000",NA,"msats303"," 22.9",NA,NA,"dioecism","external","Teleostei","Perciformes","Pomacentridae","Abudefduf","saxatilis"," 1.2743470"," 5.507347","2.276889e+01"
"2","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819"," -80.10331",NA,""," 1","Absa10","0.00"," 12.0"," 4.000000","0.91700000",NA,"msats303"," 22.9",NA,NA,"dioecism","external","Teleostei","Perciformes","Pomacentridae","Abudefduf","saxatilis"," 1.2743470"," 5.507347","2.276889e+01"
"3","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819"," -80.10331",NA,""," 1","Absa17","0.00"," 12.0"," 4.000000","0.86800000",NA,"msats303"," 22.9",NA,NA,"dioecism","external","Teleostei","Perciformes","Pomacentridae","Abudefduf","saxatilis"," 1.2743470"," 5.507347","2.276889e+01"
"4","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819"," -80.10331",NA,""," 1","Absa18","0.00"," 12.0"," 4.000000","0.87200000",NA,"msats303"," 22.9",NA,NA,"dioecism","external","Teleostei","Perciformes","Pomacentridae","Abudefduf","saxatilis"," 1.2743470"," 5.507347","2.276889e+01"
"5","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819"," -80.10331",NA,""," 1","Absa23","0.00"," 12.0"," 4.000000","0.90600000",NA,"msats303"," 22.9",NA,NA,"dioecism","external","Teleostei","Perciformes","Pomacentridae","Abudefduf","saxatilis"," 1.2743470"," 5.507347","2.276889e+01"
"6","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819"," -80.10331",NA,""," 1","Absa30","0.00"," 12.0"," 4.000000","0.86800000",NA,"msats303"," 22.9",NA,NA,"dioecism","external","Teleostei","Perciformes","Pomacentridae","Abudefduf","saxatilis"," 1.2743470"," 5.507347","2.276889e+01"
"7","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819"," -80.10331",NA,""," 1","Absa38","0.00"," 12.0"," 4.000000","0.88500000",NA,"msats303"," 22.9",NA,NA,"dioecism","external","Teleostei","Perciformes","Pomacentridae","Abudefduf","saxatilis"," 1.2743470"," 5.507347","2.276889e+01"
"8","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819"," -80.10331",NA,""," 1","Absa41","0.00"," 12.0"," 4.000000","0.90300000",NA,"msats303"," 22.9",NA,NA,"dioecism","external","Teleostei","Perciformes","Pomacentridae","Abudefduf","saxatilis"," 1.2743470"," 5.507347","2.276889e+01"
"9","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819"," -80.10331",NA,""," 1","2al10","1.00"," 12.0"," 2.000000","0.65600000",NA,"msats303"," 22.9",NA,NA,"dioecism","external","Teleostei","Perciformes","Pomacentridae","Abudefduf","saxatilis"," 1.2743470"," 5.507347","2.276889e+01"
"10","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819"," -80.10331",NA,""," 1","2al13","1.00"," 12.0"," 2.000000","0.88500000",NA,"msats303"," 22.9",NA,NA,"dioecism","external","Teleostei","Perciformes","Pomacentridae","Abudefduf","saxatilis"," 1.2743470"," 5.507347","2.276889e+01"
