"","X","spp","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise","file"
"1",10,"Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","Atlantic Ocean off North Carolina",34.8,-70,NA,"2000/2001","control region",23,"890",1,NA,0.053,NA,"mtdna101"
"2",11,"Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","East Central Florida",28.304,-75,NA,"2001","control region",30,"890",1,NA,0.055,NA,"mtdna101"
"3",12,"Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","Northern Gulf of Mexico",29.229,-84,NA,"1998-2000","control region",54,"890",0.999,NA,0.055,NA,"mtdna101"
"4",13,"Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","Southern tip of Florida",25.205,-76,NA,"2000/2001","control region",21,"890",0.995,NA,0.049,NA,"mtdna101"
"5",63,"Aetobatus narinari","Spotted eagle ray","Sellas et al. 2015 Journal of Heredity 266-275","USA","Florida",27.344437,-82.567594,NA,"2009-2011","cytb",169,"580",0.71,NA,0.0024,NA,"mtdna102"
"6",107,"Anoplopoma fimbria","Sablefish","Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523","USA","OR",45.8355555555556,-124.801666666667,"SABLEFPCOAST","","cytochrome c oxidase subunit I",13,"353",0.5,0.037719613,0.0015,0.00011094,"mtdna101"
"7",108,"Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Apalachicola",29.718192,-84.9814,NA,"1999","control region",60,"470",NA,NA,0.04,NA,"mtdna102"
"8",109,"Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Cedar Keys",29.135342,-83.042618,NA,"1998","control region",33,"470",NA,NA,0.039,NA,"mtdna102"
"9",110,"Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Charleston",32.76209,-79.886029,NA,"2001","control region",23,"470",NA,NA,0.032,NA,"mtdna102"
"10",111,"Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Corpus Christi",27.799609,-97.330457,NA,"1999","control region",31,"470",NA,NA,0.04,NA,"mtdna102"
